iter	Logloss
0	0.6877793789
1	0.6843614578
2	0.6791930199
3	0.6734378338
4	0.6672989845
5	0.6637814522
6	0.6606139183
7	0.6570013046
8	0.6541864395
9	0.6505729675
10	0.6464743137
11	0.6438372612
12	0.6408734322
13	0.6388689995
14	0.6375954628
15	0.6329499245
16	0.6313047409
17	0.6281153202
18	0.6280597687
19	0.6257693768
20	0.6227021217
21	0.6182101727
22	0.6153787136
23	0.6123172283
24	0.611478281
25	0.6102013588
26	0.6100568771
27	0.6085549355
28	0.606872654
29	0.6050848961
30	0.6035297394
31	0.6007395267
32	0.5984185219
33	0.5952037811
34	0.5941156387
35	0.5918895245
36	0.5901247978
37	0.58674016
38	0.5850067616
39	0.5823421478
40	0.5789406776
41	0.5770626545
42	0.5756792068
43	0.574353981
44	0.5724993706
45	0.5696995735
46	0.5689551353
47	0.5681082249
48	0.5669628143
49	0.5641110897
50	0.5609549999
51	0.5594117641
52	0.5588184357
53	0.5575380802
54	0.5553744316
55	0.5529778481
56	0.5505292892
57	0.5483270168
58	0.5455083847
59	0.5432911396
60	0.5425575256
61	0.541065979
62	0.5385072708
63	0.5364512444
64	0.5337272644
65	0.5310713768
66	0.528234148
67	0.5269720078
68	0.5252789497
69	0.5237335205
70	0.5221308708
71	0.5206376076
72	0.5193793297
73	0.517061615
74	0.5163269997
75	0.5155447483
76	0.5142601967
77	0.5131762981
78	0.5119858742
79	0.5096692085
80	0.5084588051
81	0.5071099281
82	0.505982399
83	0.5047589779
84	0.5036140442
85	0.5025596619
86	0.5014929771
87	0.499617815
88	0.4966031075
89	0.4956116199
90	0.4949226379
91	0.4942753792
92	0.4936650276
93	0.4930866241
94	0.4925389767
95	0.4922213078
96	0.4913556099
97	0.4910498619
98	0.4905394554
99	0.4902406693
