iter	Passed	Remaining
0	128	12769
1	130	6378
2	131	4267
3	133	3199
4	133	2541
5	134	2114
6	136	1817
7	137	1578
8	137	1392
9	138	1243
10	139	1127
11	140	1027
12	140	941
13	141	867
14	141	803
15	142	750
16	143	699
17	143	654
18	144	614
19	144	578
20	145	545
21	145	515
22	145	487
23	146	462
24	146	439
25	146	418
26	147	398
27	147	379
28	147	362
29	148	345
30	148	330
31	148	316
32	149	303
33	150	291
34	150	279
35	151	269
36	151	258
37	152	248
38	152	239
39	153	230
40	154	221
41	154	213
42	154	205
43	155	197
44	155	189
45	155	182
46	155	175
47	156	169
48	156	162
49	156	156
50	157	151
51	157	145
52	157	140
53	158	134
54	158	129
55	158	124
56	159	120
57	159	115
58	159	110
59	159	106
60	160	102
61	160	98
62	160	94
63	161	90
64	161	86
65	161	83
66	162	79
67	162	76
68	163	73
69	163	69
70	163	66
71	164	63
72	164	60
73	165	58
74	165	55
75	165	52
76	166	49
77	166	46
78	166	44
79	166	41
80	167	39
81	167	36
82	168	34
83	168	32
84	168	29
85	170	27
86	171	25
87	171	23
88	172	21
89	172	19
90	173	17
91	173	15
92	174	13
93	174	11
94	174	9
95	175	7
96	175	5
97	176	3
98	176	1
99	177	0
